央视频道,#genre#
CCTV1,http://123.129.70.178:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路273』
CCTV1,http://110.52.244.53:9003//hls/1/index.m3u8$LR•IPV4『线路274』
CCTV1,http://171.107.6.179:5432/udp/239.81.0.102:4056$LR•IPV4『线路276』
CCTV1,http://171.107.6.179:5432/udp/239.81.0.13:4056$LR•IPV4『线路277』
CCTV1,http://nas.hssvm.com:8888/udp/225.1.1.120:5002$LR•IPV4『线路279』
CCTV1,http://123.113.187.204:8000/udp/239.3.1.129:8008$LR•IPV4『线路283』
CCTV1,http://1.203.111.193:17777/udp/225.1.8.1:8008$LR•IPV4『线路285』
CCTV1,http://123.122.162.7:19999/udp/239.3.1.129:8008$LR•IPV4『线路288』
CCTV1,http://111.196.129.152:20000/udp/239.3.1.129:8008$LR•IPV4『线路289』
CCTV1,http://222.129.139.91:8888/udp/239.3.1.129:8008$LR•IPV4『线路290』
CCTV1,http://120.6.209.42:8866/udp/239.253.92.83:8012$LR•IPV4『线路294』
CCTV1,http://123.113.249.203:8888/udp/239.3.1.129:8008$LR•IPV4『线路296』
CCTV1,http://222.129.139.229:8888/udp/239.3.1.129:8008$LR•IPV4『线路297』
CCTV1,http://120.0.52.241:8086/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路299』
CCTV1,http://219.128.121.202:59901/tsfile/live/0001_1.m3u8?key=txiptv$LR•IPV4『线路302』
CCTV1,http://115.171.216.209:4000/udp/225.1.8.1:8008$LR•IPV4『线路303』
CCTV1,http://183.94.146.109:2222/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路305』
CCTV1,http://60.10.106.114:555/udp/239.253.92.83:8012$LR•IPV4『线路306』
CCTV1,http://61.173.144.157:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路308』
CCTV1,http://124.230.56.27:55555/udp/239.76.253.151:9000$LR•IPV4『线路309』
CCTV1,http://123.122.163.183:19999/udp/239.3.1.129:8008$LR•IPV4『线路310』
CCTV1,http://114.252.238.87:8000/udp/239.3.1.129:8008$LR•IPV4『线路313』
CCTV1,http://115.171.216.225:4000/udp/225.1.8.1:8008$LR•IPV4『线路314』
CCTV1,http://120.0.52.162:8086/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路317』
CCTV1,http://123.117.237.15:8680/udp/239.3.1.129:8008$LR•IPV4『线路318』
CCTV1,http://115.171.80.176:8888/udp/225.1.8.1:8008$LR•IPV4『线路319』
CCTV1,http://60.2.190.206:4000/udp/239.253.92.83:8012$LR•IPV4『线路321』
CCTV1,http://123.130.84.106:8154/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路323』
CCTV1,http://14.112.86.101:4022/udp/239.77.1.17:5146$LR•IPV4『线路325』
CCTV1,http://221.219.79.161:4000/rtp/239.3.1.129:8008$LR•IPV4『线路326』
CCTV1,http://221.219.79.161:4000/udp/239.3.1.129:8008$LR•IPV4『线路327』
CCTV1,http://60.7.56.33:4000/udp/239.253.92.83:8012$LR•IPV4『线路328』
CCTV1,http://114.249.215.204:9888/udp/239.3.1.129:8008$LR•IPV4『线路331』
CCTV1,http://114.249.230.215:9888/udp/239.3.1.129:8008$LR•IPV4『线路332』
CCTV1,http://114.252.239.133:9876/udp/239.3.1.129:8008$LR•IPV4『线路333』
CCTV1,http://221.222.162.206:8888/udp/239.3.1.129:8008$LR•IPV4『线路334』
CCTV1,http://114.249.229.24:8888/udp/239.3.1.129:8008$LR•IPV4『线路335』
CCTV1,http://61.136.172.236:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路347』
CCTV1,http://183.66.15.146:60901/tsfile/live/0001_1.m3u8?key=txiptv$LR•IPV4『线路353』
CCTV1,http://120.76.248.139/live/bfgd/4200000484.m3u8$LR•IPV4『线路355』
CCTV1,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=3300&tk=e503191f8e20$LR•IPV4『线路356』
CCTV1,http://58.48.37.158:1111/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路357』
CCTV1,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=7928&tk=e503191f8e20$LR•IPV4『线路359』
CCTV1,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=9282&tk=e503191f8e20$LR•IPV4『线路360』
CCTV1,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=7689&tk=e503191f8e20$LR•IPV4『线路361』
CCTV1,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=2569&tk=e503191f8e20$LR•IPV4『线路362』
CCTV1,http://223.166.234.19:7777/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路364』
CCTV1,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=2992&tk=e503191f8e20$LR•IPV4『线路365』
CCTV1,http://115.60.241.249:2000/rtp/225.1.4.73:1102$LR•IPV4『线路366』
CCTV1,http://111.196.135.75:8686/udp/239.3.1.129:8008$LR•IPV4『线路367』
CCTV1,http://125.33.89.106:5566/udp/239.3.1.129:8008$LR•IPV4『线路371』
CCTV1,http://120.0.8.181:8086/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路378』
CCTV1,http://113.57.93.165:9900/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路380』
CCTV1,http://221.2.148.205:8154/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路383』
CCTV1,http://120.76.248.139/live/bfgd/4200000488.m3u8$LR•IPV4『线路388』
CCTV1,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=8619&tk=e503191f8e20$LR•IPV4『线路391』
CCTV1,http://113.57.20.158:9901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路392』
CCTV1,http://116.128.242.83:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路397』
CCTV2,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226676/index.m3u8$LR•IPV6『线路1』
CCTV2,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000012442/1.m3u8$LR•IPV6『线路2』
CCTV2,http://[2409:8087:74d9:21::6]:80/270000001128/9900000502/index.m3u8$LR•IPV6『线路3』
CCTV2,http://[2409:8087:5e00:24::11]:6060/200000001898/460000089800010211/$LR•IPV6『线路5』
CCTV2,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225588/index.m3u8?$LR•IPV6『线路9』
CCTV2,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010211/1.m3u8?$LR•IPV6『线路10』
CCTV2,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/yinhe/88888888/8/3221225588/index.m3u8$LR•IPV6『线路11』
CCTV2,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010211/index.m3u8$LR•IPV6『线路13』
CCTV2,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225588/index.m3u8$LR•IPV6『线路20』
CCTV2,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010211/1.m3u8$LR•IPV6『线路22』
CCTV2,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/2/224/3221225588/2.m3u8$LR•IPV6『线路23』
CCTV2,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010211/$LR•IPV6『线路24』
CCTV2,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000005000031113/1.m3u8$LR•IPV6『线路25』
CCTV2,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8$LR•IPV6『线路26』
CCTV2,http://[2409:8087:5e08:24::11]:6610/000000001000/6000000001000014161/1.m3u8?channel-id=wasusyt&Contentid=6000000001000014161&livemode=1&stbId=3$LR•IPV6『线路28』
CCTV2,http://[2409:8087:1a0a:df::4038]/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225588/index.m3u8$LR•IPV6『线路29』
CCTV2,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000502/index.m3u8?$LR•IPV6『线路30』
CCTV2,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000502/index.m3u8?channel-id=newtv$LR•IPV6『线路31』
CCTV2,http://[2409:8087:5e08:24::11]:6610/000000001000/1000000001000023315/1.m3u8?channel-id=ystenlive&Contentid=1000000001000023315&livemode=1&stbId=3$LR•IPV6『线路32』
CCTV2,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000012442/index.m3u8?channel-id=ystenlive&Contentid=1000000001000012442&livemode=1&stbId=3$LR•IPV6『线路33』
CCTV2,http://[2409:8087:74d9:21::6]/000000001000PLTV/88888888/224/3221226676/index.m3u8$LR•IPV6『线路34』
CCTV2,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225588/index.m3u8$LR•IPV6『线路35』
CCTV2,http://[2409:8087:1a01:df::406f]:80/wh7f454c46tw1241164675_1575082505/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8?icpid=88888888&RTS=1713968070&from=4&hms_devid=692&prioritypopid=4&online=1713968070&vqe=3$LR•IPV6『线路36』
CCTV2,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225588/index.m3u8$LR•IPV6『线路37』
CCTV2,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000502/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000502$LR•IPV6『线路38』
CCTV2,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000502/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000222$LR•IPV6『线路39』
CCTV2,http://[2409:8087:1a0a:df::4031]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8$LR•IPV6『线路40』
CCTV2,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000023315/1.m3u8$LR•IPV6『线路41』
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8$LR•IPV4『线路42』
CCTV2,http://115.48.63.1:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路48』
CCTV2,http://61.156.228.12:8154/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路49』
CCTV2,http://123.130.84.106:8154/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路50』
CCTV2,http://36.99.206.164:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路52』
CCTV2,http://124.128.73.58:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路53』
CCTV2,http://218.76.32.193:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路54』
CCTV2,http://121.33.239.242:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路55』
CCTV2,http://218.76.32.193:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路61』
CCTV2,http://218.3.138.25:1111/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路81』
CCTV2,http://124.128.73.58:9901/tsfile/live/0002_1.m3u8?key=txiptv$LR•IPV4『线路82』
CCTV2,http://111.14.181.15:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路85』
CCTV2,http://218.241.192.50:8808/rtp/239.3.1.60:8084$LR•IPV4『线路86』
CCTV2,http://120.234.5.29:6000/udp/239.20.0.197:2192$LR•IPV4『线路88』
CCTV2,http://110.80.17.38:9901/tsfile/live/0002_1.m3u8?key=txiptv$LR•IPV4『线路92』
CCTV2,http://dms.yryyj.site:8188/udp/239.76.246.152:1234$LR•IPV4『线路96』
CCTV2,http://222.241.154.37:9901/tsfile/live/23002_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路109』
CCTV2,http://218.89.240.144:59901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路111』
CCTV2,http://117.27.190.42:9998/tsfile/live/23233_1.m3u8?key=txiptv$LR•IPV4『线路114』
CCTV2,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226540/index.m3u8$LR•IPV4『线路118』
CCTV2,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225588/index.m3u8$LR•IPV4『线路120』
CCTV2,http://222.241.154.37:9901/tsfile/live/23002_1.m3u8?key=txiptv$LR•IPV4『线路125』
CCTV2,http://61.150.67.62:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路152』
CCTV2,http://iptv.887979.xyz/ysptp/cctv2.m3u8$LR•IPV4『线路154』
CCTV2,http://tvbox6.icu/tv/migu.php?id=cctv2$LR•IPV4『线路160』
CCTV2,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=9848&tk=97475bb89d45$LR•IPV4『线路162』
CCTV2,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=5288&tk=97475bb89d45$LR•IPV4『线路163』
CCTV2,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=3971&tk=97475bb89d45$LR•IPV4『线路164』
CCTV2,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=3546&tk=97475bb89d45$LR•IPV4『线路165』
CCTV2,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=6433&tk=97475bb89d45$LR•IPV4『线路166』
CCTV2,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=2076&tk=97475bb89d45$LR•IPV4『线路167』
CCTV2,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=3956&tk=97475bb89d45$LR•IPV4『线路168』
CCTV2,http://123.113.187.204:8000/rtp/239.3.1.60:8084$LR•IPV4『线路176』
CCTV2,http://221.219.79.161:4000/rtp/239.3.1.60:8084$LR•IPV4『线路177』
CCTV2,http://www.furymax.top:85/rtp/239.69.1.102:10250$LR•IPV4『线路184』
CCTV2,http://8.138.7.223/tv/mgitv.php?id=8$LR•IPV4『线路185』
CCTV2,http://8.138.7.223/tv/mgitv.php?id=9$LR•IPV4『线路186』
CCTV2,http://8.138.7.223/tv/mgitv.php?id=10$LR•IPV4『线路187』
CCTV2,http://8.138.7.223/tv/mgitv.php?id=11$LR•IPV4『线路188』
CCTV2,http://60.12.183.46:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4『线路190』
